ROWNO,LEGACY_CODE_NO,SPOT_NM,SPOT_STD_CODE,INFO_CREAT_INSTT_NM,CL_MIDDLE_NM,CL_SMALL_NM,DO_NM,CTY_NM,ADRES,ADMCODE,CRDNT_X,CRDNT_Y,ABL_AT,ABL_DE,DAY_AVG,CHARGE,INS_DATE,DEL_YN,OFFICE,OFFICE_TEL,BUILDING_NO,LOC_JIBUN,COMMT,YYYY,PERIOD,INSP_CHECK,UN_INSP_DESC,ACCEPT_YN,SUIT,UNSUIT,ITEM_GENBACLOW,ITEM_GENBACMID,ITEM_TOTBAC,ITEM_BAC,ITEM_FESTR,ITEM_BRANFUNGUS,ITEM_GRGUNGUS,ITEM_SALMOL,ITEM_SEGEL,ITEM_SULFUNGUS,ITEM_YERSINIA,ITEM_PB,ITEM_F,ITEM_GAS,ITEM_SE,ITEM_HG,ITEM_CN,ITEM_CR6,ITEM_NO3AM,ITEM_NO3N,ITEM_CD,ITEM_BORON,ITEM_BRO3,ITEM_PHENOL,ITEM_DIAZN,ITEM_PARAT,ITEM_PENITRO,ITEM_CARBARYL,ITEM_TCET,ITEM_TECE,ITEM_TCE,ITEM_DCM,ITEM_BENZENE,ITEM_TOLUENE,ITEM_ETILBEN,ITEM_XYLENE,ITEM_DCE,ITEM_CCL4,ITEM_DBCP,ITEM_C4H8O2,ITEM_GRADIENT,ITEM_KMN,ITEM_SMELL,ITEM_COLOR,ITEM_CU,ITEM_ABS,ITEM_PH,ITEM_ZN,ITEM_CL,ITEM_FE,ITEM_MN,ITEM_MUDDY,ITEM_SO42,ITEM_AL,ITEM_URAN,INSP_RST,FAIL_DESC,SAMP_DATE
15,PUB_2086,가남,26230E060000024,부산,,,부산광역시,부산진구,부산광역시 부산진구 가야동 10,2623011000,,,N,,200,검사담당자,19850101,N,환경위생과,051-605-4401,,,,2017,9월,검사,,부적합,18,4,6,,검출,,불검출,,,,,,,,,,,,,,불검출,0.9,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,총대장균군(검출),부적합 안내판게시 주변청소 등,2017-09-05
16,PUB_2087,용골,26230E060000025,부산,,,부산광역시,부산진구,부산광역시 부산진구 당감동 34,2623010900,,,N,,100,검사담당자,20090101,N,환경위생과,051-605-4401,,,,2017,7월,검사,,부적합,18,4,3,,검출,,불검출,,,,,,,,,,,,,,불검출,1.6,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,총대장균군(검출),,2017-07-18
17,PUB_2087,용골,26230E060000025,부산,,,부산광역시,부산진구,부산광역시 부산진구 당감동 34,2623010900,,,N,,100,검사담당자,20090101,N,환경위생과,051-605-4401,,,,2017,8월,검사,,부적합,18,4,0,,검출,,불검출,,,,,,,,,,,,,,불검출,1,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,총대장균군(검출),,2017-08-24
18,PUB_2087,용골,26230E060000025,부산,,,부산광역시,부산진구,부산광역시 부산진구 당감동 34,2623010900,,,N,,100,검사담당자,20090101,N,환경위생과,051-605-4401,,,,2017,9월,검사,,적합,22,0,0,,불검출,,불검출,,,,,,,,,,,,,,불검출,1.5,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,2017-09-05
19,PUB_2088,공동정호,26230E060000026,부산,,,부산광역시,부산진구,부산광역시 부산진구 범천동 44,2623010400,,,N,,100,검사담당자,19530101,N,환경위생과,051-605-4401,,,,2017,7월,검사,,적합,22,0,3,,불검출,,불검출,,,,,,,,,,,,,,불검출,1.4,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,2017-07-18
20,PUB_2088,공동정호,26230E060000026,부산,,,부산광역시,부산진구,부산광역시 부산진구 범천동 44,2623010400,,,N,,100,검사담당자,19530101,N,환경위생과,051-605-4401,,,,2017,8월,검사,,부적합,18,4,26,,검출,,불검출,,,,,,,,,,,,,,불검출,1.2,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,총대장균군(검출),,2017-08-24
21,PUB_2088,공동정호,26230E060000026,부산,,,부산광역시,부산진구,부산광역시 부산진구 범천동 44,2623010400,,,N,,100,검사담당자,19530101,N,환경위생과,051-605-4401,,,,2017,9월,검사,,적합,22,0,2,,불검출,,불검출,,,,,,,,,,,,,,불검출,1.5,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,2017-09-05
22,PUB_2054,수산대,26260E060000001,부산,,,부산광역시,동래구,부산광역시 동래구 온천동 92-2,2626010800,,,N,,60,검사담당자,19960127,N,환경위생과,051-550-4395,,,,2017,7월,미검사,안심양호등급,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-01
23,PUB_2054,수산대,26260E060000001,부산,,,부산광역시,동래구,부산광역시 동래구 온천동 92-2,2626010800,,,N,,60,검사담당자,19960127,N,환경위생과,051-550-4395,,,,2017,8월,미검사,수량부족,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-01
24,PUB_2054,수산대,26260E060000001,부산,,,부산광역시,동래구,부산광역시 동래구 온천동 92-2,2626010800,,,N,,60,검사담당자,19960127,N,환경위생과,051-550-4395,,,,2017,9월,미검사,수량부족,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-01
25,PUB_2055,대덕사,26260E060000002,부산,,,부산광역시,동래구,부산광역시 동래구 온천동 92-2,2626010800,,,N,,50,검사담당자,19960127,N,환경위생과,051-550-4395,,,,2017,7월,미검사,안심양호등급,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-01
26,PUB_2055,대덕사,26260E060000002,부산,,,부산광역시,동래구,부산광역시 동래구 온천동 92-2,2626010800,,,N,,50,검사담당자,19960127,N,환경위생과,051-550-4395,,,,2017,8월,검사,,적합,22,0,0,,불검출,,불검출,,,,,,,,,,,,,,불검출,1.6,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,2017-08-22
27,PUB_2055,대덕사,26260E060000002,부산,,,부산광역시,동래구,부산광역시 동래구 온천동 92-2,2626010800,,,N,,50,검사담당자,19960127,N,환경위생과,051-550-4395,,,,2017,9월,검사,,부적합,18,4,0,,검출,,불검출,,,,,,,,,,,,,,불검출,1.5,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,총대장균군(검출),사용금지,2017-09-21
28,PUB_2056,만수정,26260E060000003,부산,,,부산광역시,동래구,부산광역시 동래구 온천동 190-8,2626010800,,,N,,120,검사담당자,19960127,N,환경위생과,051-550-4395,,,,2017,7월,미검사,안심양호등급,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-01
29,PUB_3650,서울대공원서울랜드뒤,11590E060000010,서울,,,서울특별시,,서울특별시  61-75,1100000000,,,N,,300,박진아A,,N,,,,,,2017,8월,미검사,미검사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-01
30,PUB_3710,미타사약수터,42720E060000006,서울,,,서울특별시,구로구,서울특별시 구로구 오류동 44,1153010800,,,N,,100,기영은,20170101,N,,,,,,2017,8월,검사,,적합,7,0,,0,불검출,불검출,,,,,,,,,,,,,,,0.04,0.6,,,,,,,,,,,,,,,,,,,,,,1.58,,,,,,,,,,,,,,,,2017-08-31
31,PUB_3196,만수천,11110E060000002,서울,,,서울특별시,종로구,서울특별시 종로구 옥인동 3-14,1111011100,,,N,,30,서울시담당자,,N,,,,,,2017,9월,검사,,부적합,6,1,,1,검출,불검출,불검출,,,,,,,,,,,,,,0.04,3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,총대장균군(검출),주변 오염원제거 취수시설 보강 및 소동 등 조치,2017-09-27
32,PUB_3197,무악재,11110E060000003,서울,,,서울특별시,종로구,서울특별시 종로구 무악동 48,1111018700,,,N,,30,서울시담당자,,N,,,,,,2017,9월,검사,,부적합,6,1,,3,검출,불검출,불검출,,,,,,,,,,,,,,0.04,2.3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,총대장균군(검출),주변 오염원제거 취수시설 보강 및 소동 등 조치,2017-09-27
33,PUB_3198,백사실,11110E060000004,서울,,,서울특별시,종로구,서울특별시 종로구 부암동 109-2,1111018400,,,N,,30,서울시담당자,,N,,,,,,2017,9월,검사,,부적합,6,1,,2,검출,불검출,불검출,,,,,,,,,,,,,,0.04,4.5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,총대장균군(검출),주변 오염원제거 취수시설 보강 및 소동 등 조치,2017-09-27
34,PUB_3202,산림수목원,11110E060000008,서울,,,서울특별시,종로구,서울특별시 종로구 옥인동 179-1,1111011100,,,N,,30,서울시담당자,,N,,,,,,2017,9월,검사,,부적합,6,1,,1,검출,불검출,불검출,,,,,,,,,,,,,,0.04,7.9,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,총대장균군(검출),주변 오염원제거 취수시설 보강 및 소동 등 조치,2017-09-27
35,PUB_3204,석굴암(1),11110E060000010,서울,,,서울특별시,종로구,서울특별시 종로구 옥인동 3-14,1111011100,,,N,,30,서울시담당자,,N,,,,,,2017,9월,검사,,부적합,6,1,,2,검출,불검출,불검출,,,,,,,,,,,,,,0.04,2.3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,총대장균군(검출),주변 오염원제거 취수시설 보강 및 소동 등 조치,2017-09-27
36,PUB_2384,천황지,42780E060000002,강원,,,강원도,철원군,강원도 철원군 철원읍 ,4278025000,,,N,,150,강원도담당자,19960314,N,환경수도과,033-450-5521,,,,2017,8월,미검사,공사중,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-01
37,PUB_2384,천황지,42780E060000002,강원,,,강원도,철원군,강원도 철원군 철원읍 ,4278025000,,,N,,150,강원도담당자,19960314,N,환경수도과,033-450-5521,,,,2017,9월,검사,,부적합,18,4,3,,검출,,불검출,,,,,,,,,,,,,,0,0.7,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,총대장균군(검출) ,사용중지 홍보,2017-09-14
38,PUB_2385,망나니골,42780E060000003,강원,,,강원도,철원군,강원도 철원군 갈말읍 ,4278025600,,,N,,500,강원도담당자,19960314,N,환경수도과,033-450-5521,,,,2017,7월,미검사,6월 재검사(2017.07.12) 대체,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-01
39,PUB_2385,망나니골,42780E060000003,강원,,,강원도,철원군,강원도 철원군 갈말읍 ,4278025600,,,N,,500,강원도담당자,19960314,N,환경수도과,033-450-5521,,,,2017,8월,검사,,부적합,14,8,20,,검출,,검출,,,,,,,,,,,,,,0,2.7,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,분원성대장균군(검출) 총대장균군(검출) ,사용중지 홍보,2017-08-08
40,PUB_2385,망나니골,42780E060000003,강원,,,강원도,철원군,강원도 철원군 갈말읍 ,4278025600,,,N,,500,강원도담당자,19960314,N,환경수도과,033-450-5521,,,,2017,9월,검사,,부적합,18,4,12,,검출,,불검출,,,,,,,,,,,,,,0,2.1,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,총대장균군(검출) ,사용중지 홍보,2017-09-14
41,PUB_2387,금학산,42780E060000005,강원,,,강원도,철원군,강원도 철원군 동송읍 ,4278025900,,,N,,350,강원도담당자,19960314,N,환경수도과,033-450-5521,,,,2017,7월,미검사,6월 재검사(2017.07.12) 대체,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-01
42,PUB_2387,금학산,42780E060000005,강원,,,강원도,철원군,강원도 철원군 동송읍 ,4278025900,,,N,,350,강원도담당자,19960314,N,환경수도과,033-450-5521,,,,2017,8월,검사,,부적합,18,4,26,,검출,,불검출,,,,,,,,,,,,,,0,1.4,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,총대장균군(검출) ,사용중지 홍보,2017-08-08
43,PUB_2387,금학산,42780E060000005,강원,,,강원도,철원군,강원도 철원군 동송읍 ,4278025900,,,N,,350,강원도담당자,19960314,N,환경수도과,033-450-5521,,,,2017,9월,검사,,부적합,14,8,12,,검출,,검출,,,,,,,,,,,,,,0,1.3,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,총대장균군(검출) 분원성대장균군(검출),사용중지 홍보,2017-09-14
44,PUB_2927,성불사,41150E060000009,경기,,,경기도,의정부시,경기도 의정부시 가능동 81-2,4115011000,,,N,,110,경기도담당자,,N,,,,,,2017,7월,검사,,부적합,5,2,3,,검출,,검출,,,,,,,,,,,,,,불검출,1.2,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,분원성대장균군(검출) 총대장균군(검출),,2017-07-21
45,PUB_2928,사폐산,41150E060000010,경기,,,경기도,의정부시,경기도 의정부시 가능동 81-2,4115011000,,,N,,150,경기도담당자,,N,,,,,,2017,7월,검사,,부적합,5,2,20,,검출,,검출,,,,,,,,,,,,,,불검출,1.4,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,분원성대장균군(검출) 총대장균군(검출),,2017-07-21
46,PUB_3517,북한산공원세심천(우이),11305E060000018,서울,,,서울특별시,강북구,서울특별시 강북구 우이동 ,1130510400,,,N,,150,서울시담당자,,N,,,,,,2017,4/4,검사,,부적합,6,1,,0,불검출,검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,대장균(검출),주변환경정비,2017-10-16
47,PUB_3518,북한산공원세심천(정릉),11290E060000004,서울,,,서울특별시,성북구,서울특별시 성북구 정릉동 ,1129013300,,,N,,150,서울시담당자,,N,,,,,,2017,4/4,검사,,부적합,6,1,,4,검출,불검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,총대장균군(검출),주변환경정비,2017-10-23
48,PUB_3524,북한산공원신성천,11290E060000005,서울,,,서울특별시,성북구,서울특별시 성북구 정릉동 ,1129013300,,,N,,200,서울시담당자,,N,,,,,,2017,4/4,검사,,부적합,6,1,,1,검출,불검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,총대장균군(검출),주변환경정비,2017-10-23
49,PUB_3527,북한산공원영비천,11305E060000023,서울,,,서울특별시,강북구,서울특별시 강북구 수유동 ,1130510300,,,N,,100,서울시담당자,,N,,,,,,2017,4/4,검사,,부적합,6,1,,7,검출,불검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,총대장균군(검출),주변환경정비,2017-10-16
50,PUB_3528,북한산공원영천,11290E060000006,서울,,,서울특별시,성북구,서울특별시 성북구 정릉동 ,1129013300,,,N,,150,서울시담당자,,N,,,,,,2017,4/4,검사,,부적합,6,1,,48,검출,불검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,총대장균군(검출),주변환경정비,2017-10-23
51,PUB_3529,북한산공원영추천,11290E060000007,서울,,,서울특별시,성북구,서울특별시 성북구 정릉동 ,1129013300,,,N,,100,서울시담당자,,N,,,,,,2017,4/4,검사,,부적합,5,2,,10,검출,검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,총대장균군(검출) 대장균(검출),주변환경정비,2017-10-23
52,PUB_3530,북한산공원용담수,11305E060000024,서울,,,서울특별시,강북구,서울특별시 강북구 우이동 ,1130510400,,,N,,100,서울시담당자,,N,,,,,,2017,4/4,검사,,부적합,6,1,,1,검출,불검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,총대장균군(검출),경고문 안내 및 주변청소 등 오염원 제거,2017-10-16
53,PUB_3532,북한산공원용천수(수유),11305E060000025,서울,,,서울특별시,강북구,서울특별시 강북구 수유동 ,1130510300,,,N,,100,서울시담당자,,N,,,,,,2017,4/4,검사,,부적합,6,1,,0,검출,불검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,총대장균군(검출),경고문 안내 및 주변청소 등 오염원 제거,2017-10-16
54,PUB_3541,북한산공원청담샘,11110E060000017,서울,,,서울특별시,종로구,서울특별시 종로구 평창동 ,1111018300,,,N,,150,서울시담당자,,N,,,,,,2017,4/4,검사,,적합,7,0,,12,불검출,불검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-10-31
55,PUB_3542,북한산공원청수천,11290E060000010,서울,,,서울특별시,성북구,서울특별시 성북구 정릉동 ,1129013300,,,N,,400,서울시담당자,,N,,,,,,2017,4/4,검사,,부적합,6,1,,13,검출,불검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,총대장균군(검출),주변환경정비,2017-10-23
56,PUB_3648,서울대공원자연과함께하는숲,11590E060000008,서울,,,서울특별시,,서울특별시  104,1100000000,,,N,,200,박진아A,,N,,,,,,2017,4/4,검사,,부적합,6,1,13,,검출,,불검출,,,,,,,,,,,,,,0.01,4.1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,총대장균군(검출),,2017-12-13
57,PUB_3649,서울대공원쉬어가는숲,11590E060000009,서울,,,서울특별시,,서울특별시  65-125,1100000000,,,N,,200,박진아A,,N,,,,,,2017,4/4,검사,,부적합,6,1,9,,검출,,불검출,,,,,,,,,,,,,,0.01,0.6,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,총대장균군(검출),,2017-12-13
58,PUB_3650,서울대공원서울랜드뒤,11590E060000010,서울,,,서울특별시,,서울특별시  61-75,1100000000,,,N,,300,박진아A,,N,,,,,,2017,4/4,검사,,적합,7,0,0,,불검출,,불검출,,,,,,,,,,,,,,0,1.5,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,2017-12-13
59,PUB_3710,미타사약수터,42720E060000006,서울,,,서울특별시,구로구,서울특별시 구로구 오류동 44,1153010800,,,N,,100,기영은,20170101,N,,,,,,2017,4/4,검사,,부적합,6,1,,2,검출,불검출,,,,,,,,,,,,,,,0.04,3.2,,,,,,,,,,,,,,,,,,,,,,2.21,,,,,,,,,,,,,,총대장균군(검출),경고문 안내 및 주변청소 등 오염원 제거,2017-10-23
60,PUB_3226,성덕사지구,11260E060000007,서울,,,서울특별시,중랑구,서울특별시 중랑구 중화동 9-5,1126010300,,,N,,250,서울시담당자,,N,,,,,,2017,9월,검사,,부적합,6,1,,104,검출,불검출,,,,,,,,,,,,,,,0.04,1.4,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,총대장균군(검출),청소 및 소독,2017-09-19
61,PUB_3227,솔밭약수,11260E060000008,서울,,,서울특별시,중랑구,서울특별시 중랑구 망우동 57-3,1126010500,,,N,,80,서울시담당자,,N,,,,,,2017,9월,검사,,적합,7,0,,0,불검출,불검출,,,,,,,,,,,,,,,0.04,3.2,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,2017-09-19
